Code,State No,Name,sum_quotes,mean_quotes,min_quotes,max_quotes,count_quotes
AL,01,Alabama,44.0,3.142857142857143,3.0,5.0,14.0
AK,02,Alaska,0.0,0.0,0.0,0.0,0.0
AZ,04,Arizona,34.0,5.666666666666667,4.0,6.0,6.0
AR,05,Arkansas,0.0,0.0,0.0,0.0,0.0
CA,06,California,399.0,2.9124087591240877,1.0,5.0,137.0
CO,08,Colorado,42.0,3.230769230769231,3.0,4.0,13.0
CT,09,Connecticut,0.0,0.0,0.0,0.0,0.0
DE,10,Delaware,0.0,0.0,0.0,0.0,0.0
DC,11,District of Columbia,0.0,0.0,0.0,0.0,0.0
FL,12,Florida,0.0,0.0,0.0,0.0,0.0
GA,13,Georgia,168.0,2.27027027027027,1.0,4.0,74.0
HI,15,Hawaii,0.0,0.0,0.0,0.0,0.0
ID,16,Idaho,0.0,0.0,0.0,0.0,0.0
IL,17,Illinois,889.0,4.630208333333333,3.0,8.0,192.0
IN,18,Indiana,194.0,4.619047619047619,3.0,6.0,42.0
IA,19,Iowa,0.0,0.0,0.0,0.0,0.0
KS,20,Kansas,0.0,0.0,0.0,0.0,0.0
KY,21,Kentucky,41.0,5.857142857142857,4.0,7.0,7.0
LA,22,Louisiana,0.0,0.0,0.0,0.0,0.0
ME,23,Maine,0.0,0.0,0.0,0.0,0.0
MD,24,Maryland,118.0,4.916666666666667,2.0,7.0,24.0
MA,25,Massachusetts,0.0,0.0,0.0,0.0,0.0
MI,26,Michigan,285.0,3.8513513513513513,1.0,6.0,74.0
MN,27,Minnesota,2.0,1.0,1.0,1.0,2.0
MS,28,Mississippi,0.0,0.0,0.0,0.0,0.0
MO,29,Missouri,154.0,5.5,3.0,7.0,28.0
MT,30,Montana,9.0,3.0,3.0,3.0,3.0
NE,31,Nebraska,0.0,0.0,0.0,0.0,0.0
NV,32,Nevada,64.0,3.764705882352941,2.0,5.0,17.0
NH,33,New Hampshire,0.0,0.0,0.0,0.0,0.0
NJ,34,New Jersey,0.0,0.0,0.0,0.0,0.0
NM,35,New Mexico,0.0,0.0,0.0,0.0,0.0
NY,36,New York,131.0,1.8194444444444444,1.0,5.0,72.0
NC,37,North Carolina,0.0,0.0,0.0,0.0,0.0
ND,38,North Dakota,53.0,3.1176470588235294,3.0,4.0,17.0
OH,39,Ohio,83.0,4.15,3.0,6.0,20.0
OK,40,Oklahoma,9.0,3.0,3.0,3.0,3.0
OR,41,Oregon,13.0,4.333333333333333,4.0,5.0,3.0
PA,42,Pennsylvania,195.0,4.431818181818182,1.0,7.0,44.0
RI,44,Rhode Island,0.0,0.0,0.0,0.0,0.0
SC,45,South Carolina,74.0,4.111111111111111,1.0,5.0,18.0
SD,46,South Dakota,0.0,0.0,0.0,0.0,0.0
TN,47,Tennessee,155.0,4.305555555555555,3.0,6.0,36.0
TX,48,Texas,403.0,3.053030303030303,1.0,6.0,132.0
UT,49,Utah,11.0,3.6666666666666665,3.0,4.0,3.0
VT,50,Vermont,0.0,0.0,0.0,0.0,0.0
VA,51,Virginia,142.0,4.580645161290323,2.0,8.0,31.0
WA,53,Washington,22.0,3.6666666666666665,1.0,6.0,6.0
WV,54,West Virginia,0.0,0.0,0.0,0.0,0.0
WI,55,Wisconsin,2.0,2.0,2.0,2.0,1.0
WY,56,Wyoming,0.0,0.0,0.0,0.0,0.0
